country,page
Abkhazia,Zurab Achba
Abkhazia,Garri Aiba
Abkhazia,Zaur Avidzba
Abkhazia,Raul Eshba
Abkhazia,Guram Gabiskiria
Abkhazia,Zakan Jugelia
Abkhazia,Zhiuli Shartava
Abkhazia,Yuri Voronov
Abkhazia,Zaur Ardzinba
Abkhazia,Gennadi Berulava
Abkhazia,Samson Chanba
Abkhazia,Efrem Eshba
Abkhazia,Nestor Lakoba
Abkhazia,Sumbat Saakian
Abkhazia,Shota Shamatava
Abkhazia,Bagrat Shinkuba
Afghanistan,Laghman Province
Afghanistan,Roqia Abubakr
Afghanistan,Sitara Achakzai
Afghanistan,Khadija Ahrari
Afghanistan,Rahila Bibi Kobra Alamshahi
Afghanistan,Shahla Ata
Afghanistan,Salamat Azimi
Afghanistan,Shukria Barakzai
Afghanistan,Delbar Nazari
Afghanistan,Maryam Durani
Afghanistan,Masuma Esmati-Wardak
Afghanistan,Frozan Fana
Afghanistan,Fauzia Gailani
Afghanistan,Husn Banu Ghazanfar
Afghanistan,Anarkali Kaur Honaryar
Afghanistan,Malali Ishaqzai
Afghanistan,Azra Jafari
Afghanistan,Gul Haar Jalal
Afghanistan,Massouda Jalal
Afghanistan,Seema Jowenda
Afghanistan,Malalai Joya
Afghanistan,Fariba Ahmadi Kakar
Afghanistan,Shinkai Karokhail
Afghanistan,Zeenat Karzai
Afghanistan,Fawzia Koofi
Afghanistan,Zahera Ahmadyar Mawlayee
Afghanistan,Farida Momand
Afghanistan,Robina Muqimyar
Afghanistan,Farkhunda Zahra Naderi
Afghanistan,Anahita Ratebzad
Afghanistan,Shah Gul Rezai
Afghanistan,Zefnoon Safai
Afghanistan,Nilofar Sakhi
Afghanistan,Sima Samar
Afghanistan,Habiba Sarobi
Afghanistan,Shakiba Hashemi
Afghanistan,Sahira Sharif
Afghanistan,Sohaila Sharifi
Afghanistan,Malalai Shinwari
Afghanistan,Suhaila Seddiqi
Afghanistan,Suraya Dalil
Afghanistan,Toorpekai
Afghanistan,Qadria Yazdanparast
Afghanistan,"List of candidates in the Afghan presidential election, 2009"
Afghanistan,Barakzai dynasty
Afghanistan,Durrani dynasty
Afghanistan,Ali Shah Durrani
Afghanistan,Ayub Shah Durrani
Afghanistan,Mahmud Shah Durrani
Afghanistan,Shah Shujah Durrani
Afghanistan,Abdur Rahman Khan
Afghanistan,Ayub Khan (Emir of Afghanistan)
Afghanistan,Dost Mohammad Khan (Emir of Afghanistan)
Afghanistan,Mohammad Afzal Khan
Afghanistan,Mohammad Azam Khan
Afghanistan,Mohammad Yaqub Khan
Afghanistan,Sher Ali Khan
Afghanistan,Wazir Akbar Khan
Afghanistan,Shuja Shah Durrani
Afghanistan,Ghulam Muhammad Tarzi
Afghanistan,Wazir Arsala Khan
Afghanistan,Barakzai dynasty
Afghanistan,Abdul Qadir (Afghan leader)
Afghanistan,Hafizullah Amin
Afghanistan,Haji Mohammad Chamkani
Afghanistan,Abdul Rashid Dostum
Afghanistan,Abdul Rahim Hatif
Afghanistan,Inayatullah Khan
Afghanistan,Habibullāh Kalakāni
Afghanistan,Babrak Karmal
Afghanistan,Abdul Ahad Karzai
Afghanistan,Habibullah Karzai
Afghanistan,Abdur Rahman Khan
Afghanistan,Amanullah Khan
Afghanistan,Ayub Khan (Emir of Afghanistan)
Afghanistan,Habibullah Khan
Afghanistan,Mohammed Daoud Khan
Afghanistan,Ahmad Shah Massoud
Afghanistan,Mohammad Mohaqiq
Afghanistan,Sibghatullah Mojaddedi
Afghanistan,Mohammed Nadir Shah
Afghanistan,Musahiban
Afghanistan,Mohammad Najibullah
