"state","sex","q10horseGP","race3m1","race3m2","weight"
"Minnesota","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.08823529411765
"Delaware","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.26470588235294
"Delaware","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3
"Texas","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.02941176470588
"California","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.17647058823529
"California","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.14705882352941
"North Carolina","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.14705882352941
"Iowa","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.97058823529412
"Massachusetts","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.32352941176471
"California","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.35294117647059
"Georgia","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.05882352941176
"Pennsylvania","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.70588235294118
"Oregon","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.52941176470588
"Alabama","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,3.29411764705882
"Washington","Female","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.41176470588235
"Minnesota","Female","Johnson/lean Johnson","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.76470588235294
"Hawaii","Female","Stein/lean Stein","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.14705882352941
"Nebraska","Female","Johnson/lean Johnson","Don't know (VOL.)",NA,6.73529411764706
"California","Male","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.79411764705882
"New Mexico","Male","Not registered","Don't know (VOL.)",NA,1
"California","Female","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2
"Oregon","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1
"Washington","Male","Clinton/lean Clinton","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.14705882352941
"California","Female","DK-refused to lean","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,2.52941176470588
"California","Female","Clinton/lean Clinton","Don't know (VOL.)",NA,4.02941176470588
"Alaska","Male","Other-refused to lean","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,1.08823529411765
"California","Female","Trump/lean Trump","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,6.73529411764706
"Washington","Female","Other-refused to lean","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.47058823529412
"West Virginia","Male","Not registered","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,2.73529411764706
